DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,Biomacromolecules,https://pubs.acs.org/doi/10.1021/bm900681w,,,"Attach permanently,""Capture, absorb, or filter organisms""","Attach permanently,""Capture, absorb, or filter organisms""",https://www.eurekalert.org/pub_releases/2009-10/acs-swg102109.php
,,,"Courtesy of the Biomimicry Guild,Biomacromolecules,Journal of Herpetology","https://pubs.acs.org/doi/10.1021/bm050335e
https://www.jstor.org/stable/1565367?origin=crossref&seq=1",,,"Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""","Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""",
,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/22057952/,,,"Attach temporarily,Chemically assemble organic compounds","Attach temporarily,Chemically assemble organic compounds",
,,,"For the Love of Insects,Integrative and Comparative Biology",https://pubmed.ncbi.nlm.nih.gov/21680397/,,,"Attach permanently,Attach temporarily","Attach permanently,Attach temporarily",
,,,"American Journal of Botany,Botanical Review","https://pubmed.ncbi.nlm.nih.gov/21636505/
https://link.springer.com/article/10.1007/BF02861079",,,Move through gases,"Disperse seeds,Move in/through gases,Pollinate",
,,,Phytochemistry,https://pubmed.ncbi.nlm.nih.gov/20655556/,,,"Protect from animals,Protect from fungi,Protect from microbes","Protect from animals,Protect from fungi,Protect from microbes",
,,,Biological Bulletin,https://pubmed.ncbi.nlm.nih.gov/20570851/,,,"Self-assemble,Protect from animals","Chemically assemble on demand,Protect from animals",
,,,Journal of Structural Biology,https://pubmed.ncbi.nlm.nih.gov/20433929/,,,"Prevent deformation,Prevent fracture/rupture,Protect from animals","Prevent deformation,Prevent fracture/rupture,Protect from animals",
,,,New Phytologist,https://pubmed.ncbi.nlm.nih.gov/20298484/,,,Protect from animals,"Cooperate within an ecosystem,Protect from animals",https://www.sciencedaily.com/releases/2010/03/100309202931.htm
,,,Chemical Communications,https://pubmed.ncbi.nlm.nih.gov/20024205/,,,Physically assemble structure,"Physically assemble structure,Regulate cellular processes",https://www.abc.net.au/science/articles/2009/12/01/2758262.htm
,,,"For the Love of Insects,Medical and Veterinary Entomology",https://pubmed.ncbi.nlm.nih.gov/19712151/,,,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",
,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Science,Journal of Orthoptera Research","https://pubmed.ncbi.nlm.nih.gov/19179529/
https://bioone.org/journals/Journal-of-Orthoptera-Research/volume-14/issue-2/1082-6467(2005)14[223:DLGACK]2.0.CO;2/Desert-locust-gregarization-a-conceptual-kinetic-model/10.1665/1082-6467(2005)14[223:DLGACK]2.0.CO;2.full",,,"Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces","Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces in a living system",
